Date	Time	Day	Latitude	Longitude	 Altitude	 Distance
9/9/21	21:31:47	1	-27.396601	151.783936	435.299988	4.381523
9/9/21	21:32:48	1	-27.39666	151.783981	422.22998	7.978099
9/9/21	21:33:51	1	-27.396624	151.783981	422.119995	4.029662
9/9/21	21:34:56	1	-27.396635	151.783951	426.519989	3.270521
9/9/21	21:35:58	1	-27.396578	151.783951	416.319977	6.362625
9/9/21	21:37:01	1	-27.396572	151.783936	441.109985	1.635261
9/9/21	21:38:02	1	-27.396637	151.783981	429.059998	8.510076
9/9/21	21:39:04	1	-27.396646	151.783905	437.799988	7.606294
9/9/21	21:40:09	1	-27.396688	151.783936	431.809998	5.554083
9/9/21	21:41:15	1	-27.396671	151.783981	429.269989	4.90578
9/9/21	21:42:19	1	-27.396704	151.784012	428.130005	4.698566
9/9/21	21:43:22	1	-27.396631	151.783966	428.910004	9.23991
9/9/21	21:44:24	1	-27.396635	151.784042	424.679993	7.543945
9/9/21	21:45:32	1	-27.396408	151.78389	434.649994	29.39222
9/9/21	21:46:33	1	-27.396687	151.783981	414.569977	32.256941
9/9/21	21:47:35	1	-27.396561	151.78392	426.099976	15.239608
9/9/21	21:48:40	1	-27.396608	151.783981	434.98999	8.026281
9/9/21	21:49:42	1	-27.396717	151.784027	413.130005	12.906077
9/9/21	21:50:44	1	-27.396675	151.784027	418.389984	4.665925
9/9/21	21:51:47	1	-27.396648	151.784012	413.429993	3.329496
9/9/21	21:52:51	1	-27.396589	151.784012	412.669983	6.574712
9/9/21	21:53:56	1	-27.396465	151.784027	410.519989	13.867747
9/9/21	21:55:03	1	-27.396648	151.783997	412.079987	20.5821
9/9/21	21:56:10	1	-27.396713	151.783997	416.399994	7.210975
9/9/21	21:57:19	1	-27.396629	151.783981	417.579987	9.452654
9/9/21	21:58:29	1	-27.39669	151.784027	430.410004	8.153764
9/9/21	21:59:37	1	-27.396711	151.784027	433.869995	2.332962
9/9/21	22:00:42	1	-27.396626	151.784012	407.329987	9.66209
9/9/21	22:01:57	1	-27.39674	151.784012	421.839996	12.725249
9/9/21	22:03:14	1	-27.396748	151.783981	437.910004	3.129963
9/9/21	22:04:28	1	-27.396717	151.784027	414.220001	5.651403
9/9/21	22:06:19	1	-27.396711	151.783966	438.25	6.059104
9/9/21	22:07:55	1	-27.396738	151.783951	455.779999	3.329495
9/9/21	22:09:00	1	-27.396698	151.783966	439.769989	4.701692
9/9/21	22:10:05	1	-27.396673	151.783936	442.389984	4.083967
9/9/21	22:11:11	1	-27.396698	151.783905	450.699982	4.083967
9/9/21	22:12:18	1	-27.396696	151.783936	449.849976	3.020258
9/9/21	22:13:23	1	-27.396664	151.783981	435.940002	5.781241
9/9/21	22:14:27	1	-27.396708	151.783966	444.880005	5.105316
9/9/21	22:15:32	1	-27.396711	151.783981	421.470001	1.564982
9/9/21	22:16:37	1	-27.396723	151.783997	433.009979	1.971944
9/9/21	22:18:02	1	-27.396706	151.783966	444.039978	3.566573
9/9/21	22:19:04	1	-27.396753	151.783966	431.5	5.302187
